Название;Описание товара;Артикул товара;Бренд товара;Характеристика товара;Ссылка на изображение;Наличие товара;Цена;Каталог товара
Семена перца сладкого Колобок 0,2 г (Seedera);Раннеспелый сорт для выращивания в защищенном грунте и пленочных теплицах. Плоды темно-красного цвета, округлой формы, толщина стенки 7-9 мм, масса плода 90-150 г. Сорт универсального использования.;11611;Seedera;"Срок созревания Ранний; Посадка II–III; Сбор урожая VIII–IX; Вкус Сладкий; Форма плода Ратунда; Цвет плода Красный; Упаковка Мини пакет; Фасовка 0,2 г; Торговая марка SeedEra";https://semena.market/images/product/463x463/15288.jpg;Нет в наличии;5,5;Seedera
Семена перца горького КАПЕРИНО ЧИЛИ 5 сем (Seedera);Перец сорта Каперино - это паприка вишневого цвета, плоды которого напоминают помидоры черри. Куст растет невысокий, компактный. Плоды округлой формы, в состоянии технической спелости имеют зеленую окраску, а в биологической - красные. Стенка у плода мясистая, кожица плотная. При выращивании требует хорошо освещенных мест, тепла, хорошо растет на питательных и гумусовых почвах. Степень остроты имеет средний. Сорт прекрасно подходит для изготовления приправ. При работе с горькими видами перца (посев, пикировки, сбор урожая, приготовление пищи) рекомендуется надевать перчатки и тщательно мыть руки после указанных работ.;11665;Seedera;"Срок созревания Среднеспелый; Посадка II–III; Сбор урожая VII — IX; Вкус Острый; Форма плода Ратунда; Цвет плода Красный; Упаковка Мини пакет; Фасовка 5 шт; Торговая марка SeedEra";https://semena.market/images/product/463x463/15300.jpg;Нет в наличии;22;Seedera
Перец солодкий ЧОРНИЙ КІНЬ 20 нас (зіппер);Нет описания;11779;Нет бренда;[];https://semena.market/images/product/0/0.jpg;Нет в наличии;10;Нет каталога
Перец Носорог 30 сем (Радомир);Нет описания;2828;Нет бренда;[];https://semena.market/images/product/0/0.jpg;Нет в наличии;4,5;Нет каталога
Перец Титан 30 сем (Радомир);Нет описания;Нет артикула;Нет бренда;[];https://semena.market/images/product/0/0.jpg;Нет в наличии;5,5;Нет каталога
Семена перца Ратунда золотая, 0,25 г (GL SEEDS);Отличный (110-114 дней) сорт. Формирует крепкий куст с томатовидными желто-оранжевыми, ребристыми плодами массой 100-110 г, толщина стенок 6-8 мм. Плоды сочные, упругие, с тонкой кожицей, очень вкусные, ароматные, с высоким содержанием каротина и витамина С. Устойчив к большинству болезней. Товарность и лежкость высоки. Идеально подходят для фарширования и консервирования.;13433;GL Seeds;"Срок созревания Ранний; Посадка II-III; Сбор урожая VIІ-IX; Вкус Сладкий; Форма плода Ратунда; Цвет плода Желтый; Упаковка Мини пакет; Фасовка 0,25 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/16962.jpg;Нет в наличии;5,5;GL Seeds
Семена перца Шоколадное чудо, 0,15 г (GL SEEDS);Экзотический среднеспелый сорт сладкого перца. Кубовидные толстостенные плоды в стадии технической спелости почти черные, по мере созревания приобретают вишневый оттенок. Мякоть сочная, хрустящая, сладкая и очень ароматная, с легким пряным послевкусием.;13434;GL Seeds;"Срок созревания Среднеспелый; Посадка II-III; Сбор урожая VIII-IX; Вкус Сладкий; Форма плода Кубовидная; Цвет плода Темно-коричневый; Упаковка Мини пакет; Фасовка 0,15 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/16963.jpg;Нет в наличии;5,5;GL Seeds
Семена петрушки листовая Коммон 2 2 г. (АгроВест);Сорт с приятным ароматом благодаря большому содержанию эфирных масел. От всходов до технической спелости 75-80 дней. Формирует большую розетку темно-зеленых листьев. Рекомендуется для ароматизации и приготовления пищи, переработки (соление, сушение).;7366;АгроВест;"Спелость Ранний; Посадка III-V;X-XI; Сбор урожая III-XI; Вид петрушки Листовая";https://semena.market/images/product/463x463/3867.jpg;В наличии;6;АгроВест
Семена петрушки корневой Берлинская 3 г. (АгроВест);Урожайный сорт с высоким содержанием витаминов, минеральных солей и микроэлементов. Розетки крупные, полураскидистые, листья темно-зеленые, блестящие на длинных черешках. Корнеплод конический, длиной 20-30 см. Пригодна для продолжительного хранения.;7367;АгроВест;"Спелость Среднепоздний; Посадка III-V;X-XI; Сбор урожая III-XI; Вид петрушки Корневая";https://semena.market/images/product/463x463/4005.jpg;В наличии;5,5;АгроВест
Семена петрушки корневой Берлинский Великан 2 г. (АгроВест);Среднепоздний урожайный сорт с высоким содержанием витаминов, минеральных солей и микроэлементов. Вегетационный период 120-130 дней. Розетка крупная, листья темно-зеленые, блестящие на длинных черешках. Корнеплод конический, длиной 20-30 см. Мякоть бело-кремовая, ароматная, очень урожайная. Пригодна для длительного хранения.;7368;АгроВест;"Спелость Среднепоздний; Посадка III-V;X-XI; Сбор урожая III-X; Вид петрушки Корневая";https://semena.market/images/product/463x463/3925.jpg;В наличии;5,5;АгроВест
Семена петрушки корневой Сахарная 3 г. (АгроВест);Сорт раннеспелый. Вегетационный период 77-84 дней. Корнеплод конусный, длиной 20-30 см, с пышной розеткой листьев. Масса 25-60 г. Поверхность ровная, бело-желтого цвета с белой мякотью. Содержит большое количество витаминов. Для кулинарии используется, как корнеплод так и зелень.;7370;АгроВест;"Спелость Ранний; Посадка III-XI; Сбор урожая III-XI; Вид петрушки Корневая";https://semena.market/images/product/463x463/3927.jpg;В наличии;5,5;АгроВест
Семена петрушки листовой Кудрявая 3 г. (АгроВест);Раннеспелый. Сорт отличается кудрявыми листьями. Имеет приятный аромат. Техническая спелость 50-60 дней. Длина зелени средняя, листья интенсивно-зеленые. Курчавость мелкая, интенсивная. Рекомендуется для переработки (соление, сушение).;7374;АгроВест;"Спелость Ранний; Посадка III-V;X-XI; Сбор урожая III-XI; Вид петрушки Кучерявая";https://semena.market/images/product/463x463/3986.jpg;В наличии;5,5;АгроВест
Семена петрушки Харьковчанка корневая Seedera, 2 г;Нет описания;10663;Seedera;[];https://semena.market/images/product/463x463/14996.jpg;В наличии;4,5;Seedera
Семена петрушки Сахарная корневая Seedera, 2 г;Нет описания;10664;Seedera;[];https://semena.market/images/product/463x463/14067.jpg;В наличии;4,5;Seedera
Семена петрушки Берлінська коренева Seedera, 2 г;Нет описания;10665;Seedera;[];https://semena.market/images/product/463x463/14069.jpg;В наличии;4,5;Seedera
Семена петрушки корневой Берлинская 2 г (Радомир);Нет описания;10871;Радомир;[];https://semena.market/images/product/463x463/15058.jpg;В наличии;4,5;Радомир
Насіння петрушки універсальної Вершки та корешки,15 г (Агромаксі);Нет описания;13850;Нет бренда;[];https://semena.market/images/product/0/0.jpg;В наличии;16,5;Нет каталога
Насіння петрушки Кудряшка Дашка ,10 г (Агромаксі);Нет описания;13851;Нет бренда;[];https://semena.market/images/product/0/0.jpg;В наличии;16,5;Нет каталога
Насіння петрушки листової Ароматна алея,10 г (Агромаксі);Нет описания;13852;Нет бренда;[];https://semena.market/images/product/0/0.jpg;В наличии;16,5;Нет каталога
Насіння петрушки Карнавал,10 г (Агромаксі);Нет описания;13854;Нет бренда;[];https://semena.market/images/product/0/0.jpg;В наличии;16,5;Нет каталога
Петрушка Ароматна, 10 г (Яскрава);Нет описания;14316;Нет бренда;[];https://semena.market/images/product/0/0.jpg;В наличии;12;Нет каталога
Петрушка Ароматна, 20 г (Яскрава);Нет описания;14317;Нет бренда;[];https://semena.market/images/product/0/0.jpg;В наличии;20;Нет каталога
Семена петрушки листовая Коммон 3 г. (КОСТЮК);Нет описания;1099;КОСТЮК;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/3371.jpg;Нет в наличии;0;КОСТЮК
Семена петрушки листовая Гигантелла 3 г. (КОСТЮК);Нет описания;Нет артикула;КОСТЮК;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/9039.jpg;Нет в наличии;2,75;КОСТЮК
Семена петрушки листовой 10 г. (КОСТЮК);Нет описания;1100;КОСТЮК;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/4349.jpg;Нет в наличии;0;КОСТЮК
Семена петрушки листовой 20 г. (КОСТЮК);Нет описания;1101;КОСТЮК;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/8158.jpg;Нет в наличии;0;КОСТЮК
Семена петрушки листовой Гигантела 10 г. (КОСТЮК);Нет описания;3198;КОСТЮК;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/11087.jpg;Нет в наличии;6,5;КОСТЮК
Семена петрушки листовая Гигантела 5 г. (КОСТЮК);Нет описания;3199;КОСТЮК;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/11085.jpg;Нет в наличии;0;КОСТЮК
Семена петрушки листовой Гигантела 20 г. (КОСТЮК);Нет описания;3206;КОСТЮК;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/11086.jpg;Нет в наличии;0;КОСТЮК
Семена петрушки корневой Сахарная 20 г. (АгроВест);Нет описания;7369;АгроВест;"Спелость Ранний; Посадка III-XI; Сбор урожая III-XI; Вид петрушки Корневая";https://semena.market/images/product/463x463/3926.jpg;Нет в наличии;24;АгроВест
Семена петрушки листовая Гигантелла 20 г. (АгроВест);Нет описания;7371;АгроВест;"Спелость Ранний; Посадка III-V;X-XI; Сбор урожая III-X; Вид петрушки Листовая";https://semena.market/images/product/463x463/3792.jpg;Нет в наличии;24;АгроВест
Семена петрушки листовая Гигантелла 3 г. (АгроВест);Высокоурожайный сорт листовой петрушки. Листья нежные, очень ароматные, с высоким содержанием витамина С, быстро отрастают после срезки. За сезон можно получить 5-6 срезов товарной продукции. Используется в свежем виде, и для сушки. Сорт морозостойкий, жароустойчивый и теневынослив.;7372;АгроВест;"Спелость Ранний; Посадка III-V;X-XI; Сбор урожая III-X; Вид петрушки Листовая";https://semena.market/images/product/463x463/3793.jpg;Нет в наличии;5;АгроВест
Семена петрушки листовой Кудрявая 20 г. (АгроВест);Раннеспелый. Сорт отличается кудрявыми листьями. Имеет приятный аромат. Техническая спелость 50-60 дней. Длина зелени средняя, листья интенсивно-зеленые. Курчавость мелкая, интенсивная. Рекомендуется для переработки (соление, сушение).;7373;АгроВест;"Спелость Ранний; Посадка III-V;X-XI; Сбор урожая III-XI; Вид петрушки Кучерявая";https://semena.market/images/product/463x463/3985.jpg;Нет в наличии;24;АгроВест
Семена петрушки листовой Кудрявая Мос Карлед 2 2 г. (АгроВест);Нет описания;7375;АгроВест;"Спелость Ранний; Посадка III-V;X-XI; Сбор урожая III-XI; Вид петрушки Кучерявая";https://semena.market/images/product/463x463/13568.jpg;Нет в наличии;5,5;АгроВест
Семена петрушки листовой Фестиваль 20 г. (АгроВест);Сорт раннеспелый, с приятным ароматом благодаря большому количеству эфирных масел. От всходов до технической спелости 50-60 дней. Формирует крупную розетку темно-зеленых листьев. Рекомендуется для переработки (соление, сушение).;7376;АгроВест;"Спелость Ранний; Посадка III-V;X-XI; Сбор урожая III-XI; Вид петрушки Листовая";https://semena.market/images/product/463x463/4003.jpg;Нет в наличии;24;АгроВест
Семена петрушки листовой Фестиваль 3 г. (АгроВест);Сорт раннеспелый, с приятным ароматом благодаря большому количеству эфирных масел. От всходов до технической спелости 50-60 дней. Формирует крупную розетку темно-зеленых листьев. Рекомендуется для переработки (соление, сушение).;7377;АгроВест;"Спелость Ранний; Посадка III-V;X-XI; Сбор урожая III-XI; Вид петрушки Листовая";https://semena.market/images/product/463x463/4004.jpg;Нет в наличии;5;АгроВест
Семена петрушки Петра 1 г. (Riva);Нет описания;Нет артикула;Riva Trade;"Спелость Среднеспелый; Вид петрушки Кучерявая";https://semena.market/images/product/463x463/4108.jpg;Нет в наличии;0;Riva Trade
Семена петрушки Риалто 1 г. (Riva);Нет описания;Нет артикула;Riva Trade;"Спелость Среднеспелый; Вид петрушки Листовая";https://semena.market/images/product/463x463/4109.jpg;Нет в наличии;0;Riva Trade
Семена петрушки Рина 1 г. (Riva);Нет описания;Нет артикула;Riva Trade;[];https://semena.market/images/product/463x463/4110.jpg;Нет в наличии;0;Riva Trade
Семена петрушки корневой Игл F1 1 г. (АГРОПАКГРУП);Нет описания;1731;Агропакгруп;"Спелость Среднеранний; Вид петрушки Корневая";https://semena.market/images/product/463x463/4205.jpg;Нет в наличии;14,4;Агропакгруп
Семена петрушки листовой Новас F1 1,5 г. (АГРОПАКГРУП);Нет описания;1733;Агропакгруп;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/4206.jpg;Нет в наличии;12,8;Агропакгруп
Семена петрушки кудрявой Петра F1 1 г. (АГРОПАКГРУП);Нет описания;1732;Агропакгруп;"Спелость Среднеранний; Вид петрушки Кучерявая";https://semena.market/images/product/463x463/4207.jpg;Нет в наличии;9,6;Агропакгруп
Семена петрушки Гигант де Италия листовая 1 г. (Садыба Центр);Нет описания;1415;Садиба Центр;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/6898.jpg;Нет в наличии;0;Садиба Центр
Семена петрушки Глория листовая 1 г. (Садыба Центр);Нет описания;1416;Садиба Центр;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/6899.jpg;Нет в наличии;0;Садиба Центр
Семена петрушки Игл кореневая 0,5 г. (Садыба Центр);Нет описания;1417;Садиба Центр;"Спелость Среднепоздний; Вид петрушки Корневая";https://semena.market/images/product/463x463/6900.jpg;Нет в наличии;8;Садиба Центр
Семена петрушки Риалто листовая 1 г. (Садыба Центр);Нет описания;1418;Садиба Центр;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/6901.jpg;Нет в наличии;6,5;Садиба Центр
Семена петрушки Рина листовая 0,5 г. (Садыба Центр);Нет описания;1419;Садиба Центр;Вид петрушки Листовая;https://semena.market/images/product/463x463/6902.jpg;Нет в наличии;11;Садиба Центр
Семена петрушки корневой Берлиния 0,5 г. (Традиция);Нет описания;1633;Садиба Центр;"Спелость Среднеспелый; Вид петрушки Корневая";https://semena.market/images/product/463x463/6940.jpg;Нет в наличии;7;Садиба Центр
Семена петрушки кудрявой Москраузе, 2 г. (Традиция);Замечательный высокопродуктивный сорт. От всходов до технической спелости 60-70 дней. Куст сильный, с красивым темно-зеленым, мелко вьющимися ароматными листьями. Выращивают с ранней весны и до осени. Сорт неприхотлив, устойчив к пероноспорозу и хорошо перезимовывает. В усеченном виде не теряет аромата и не желтеет в течение 7 дней. Используют как ароматную и высоковитаминную приправу в свежем или сушеном виде.;1634;Садиба Центр;"Спелость Среднеспелый; Вид петрушки Кучерявая";https://semena.market/images/product/463x463/6942.jpg;Нет в наличии;6,5;Садиба Центр
Семена петрушки листовая Гигантелла 3 г. (Зиппер);Нет описания;2925;Нет бренда;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/8986.jpg;Нет в наличии;3,5;Нет каталога
Семена петрушки листовая Гигантелла 5 г. (Зиппер);Нет описания;1807;Нет бренда;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/8987.jpg;Нет в наличии;5,5;Нет каталога
Семена петрушки листовая 10 г. (Зиппер);Нет описания;2939;Нет бренда;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/9016.jpg;Нет в наличии;0;Нет каталога
Семена петрушки листовой Коммон 2 г. (Традиция);Нет описания;2390;Садиба Центр;"Спелость Среднеранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/9703.jpg;Нет в наличии;5;Садиба Центр
Семена петрушки листовой Армавирская 10 г. (Seedera);Нет описания;3080;Seedera;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/9868.jpg;Нет в наличии;6,5;Seedera
Семена петрушки листовая Гигантелла 20 г. (Зиппер);Нет описания;3197;Нет бренда;"Спелость Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/10093.jpg;Нет в наличии;0;Нет каталога
Семена петрушки корневой Берлиния 10 г. (Традиция);Нет описания;3741;Садиба Центр;"Спелость Среднеспелый; Вид петрушки Корневая";https://semena.market/images/product/463x463/10097.jpg;Нет в наличии;23;Садиба Центр
Семена петрушки корневой Сахарная 2 г. (Яскрава);Нет описания;3968;Яскрава;"Спелость Ранний; Вид петрушки Корневая";https://semena.market/images/product/463x463/10404.jpg;Нет в наличии;3,5;Яскрава
Семена петрушки корнево-листовой Берлинская 20 г. (Яскрава);Нет описания;4099;Яскрава;"Спелость Поздний; Вид петрушки Корневая";https://semena.market/images/product/463x463/10425.jpg;Нет в наличии;9;Яскрава
Семена петрушки корнево-листовой Богатырь 2 г. (Яскрава);Нет описания;3969;Яскрава;"Спелость Сверхранний; Вид петрушки Корневая";https://semena.market/images/product/463x463/10403.jpg;Нет в наличии;3;Яскрава
Семена петрушки листовой Аргон F1 1 г. (АГРОПАКГРУП);Нет описания;4692;Агропакгруп;"Спелость Среднеспелый; Вид петрушки Листовая";https://semena.market/images/product/463x463/11345.jpg;Нет в наличии;8,8;Агропакгруп
Семена петрушки кучерявой Москраузе 10 г. (Традиція);Нет описания;8979;Садиба Центр;[];https://semena.market/images/product/463x463/12213.jpg;Нет в наличии;16;Садиба Центр
Семена петрушки Итальянский гигант 10 г. (Традиція);Нет описания;8980;Садиба Центр;[];https://semena.market/images/product/463x463/12205.jpg;Нет в наличии;16,5;Садиба Центр
Петрушка листова Коммон 10 г. (Традиція);Нет описания;9087;Садиба Центр;[];https://semena.market/images/product/0/0.jpg;Нет в наличии;16,5;Садиба Центр
Семена петрушки листовой 10 г. (Традиція);Нет описания;9098;Садиба Центр;[];https://semena.market/images/product/463x463/12808.jpg;Нет в наличии;9;Садиба Центр
Семена петрушки кудрявой Парамоут 2 г. (Радомир);Нет описания;9346;Радомир;[];https://semena.market/images/product/463x463/11896.jpg;Нет в наличии;4;Радомир
Семена петрушки листовой Утренняя свежесть 2 г. (Радомир);Нет описания;9347;Радомир;[];https://semena.market/images/product/463x463/11898.jpg;Нет в наличии;4,5;Радомир
Семена петрушки листовой Титаник 10 г. (Радомир);Нет описания;9415;Радомир;[];https://semena.market/images/product/463x463/11897.jpg;Нет в наличии;12,5;Радомир
Семена петрушки листовой Утренняя свежесть 10 г. (Радомир);Нет описания;9416;Радомир;[];https://semena.market/images/product/463x463/11899.jpg;Нет в наличии;10;Радомир
Петрушка листовая Армавирская Seedera, 20 г;Нет описания;9926;Seedera;[];https://semena.market/images/product/463x463/14995.jpg;Нет в наличии;21;Seedera
Семена петрушки корневой Русский размер 2 г. (Русский Огород);Ещё один невероятный корнеплод: подземная часть этой петрушки при благоприятных условиях достигает не менее 30 см! Белоснежной, сочной и сладковатой мякоти одного корнеплода хватит надолго. В свежем и сушеном виде придаст блюдам пикантный вкус и великолепный аромат.;10523;Нет бренда;[];https://semena.market/images/product/463x463/13829.jpg;Нет в наличии;15;Нет каталога
Семена петрушки Москраузе кучерявая Seedera, 2 г;Нет описания;10662;Seedera;[];https://semena.market/images/product/463x463/14068.jpg;Нет в наличии;4,5;Seedera
Петрушка Гігант де Італія листова, 20 г (Садиба Центр);Нет описания;10804;Садиба Центр;[];https://semena.market/images/product/463x463/15111.jpg;Нет в наличии;22,5;Садиба Центр
Семена петрушки Балконная 3 г (GL SEEDS);Листовой сорт петрушки, пригодный для круглогодичного получения зелени в домашних условиях. Формирует красивую розетку из зеленых ароматных листьев, которые после среза быстро отрастают. Посев в оконные ящики, цветочные горшки и контейнеры можно проводить круглый год, предварительно замочив семена на сутки в теплой воде. Для непрерывного получения урожая посевы проводят с интервалом 25-30 дней.;11044;GL Seeds;"Срок созревания Ранний; Вид петрушки Листовая";https://semena.market/images/product/463x463/14925.jpg;Нет в наличии;4,5;GL Seeds
Семена петрушки листовой Ароматная 10 г (Радомир);Нет описания;11571;Радомир;[];https://semena.market/images/product/463x463/15039.jpg;Нет в наличии;12,5;Радомир
Семена петрушки листовой ГИГАНТЕЛЛА 20 г (Seedera);Раннеспелый сорт. Растение образует плотную розетку. Листья нежные, темно-зеленые, с прекрасным ароматом. Зелень хорошо отрастает после среза. При соблюдении агротехнических условий, за сезон можно получить 5-6 срезов товарной продукции. Используют в пищу в свежем виде.;11754;Seedera;"Срок созревания Ранний; Посадка IV, X; Сбор урожая VI–IX; Вид петрушки Листовая";https://semena.market/images/product/463x463/15311.jpg;Нет в наличии;19;Seedera
Семена петрушки листовой КАРНАВАЛ 20 г (Seedera);Вегетационный период от всходов до технической спелости 65-75 дней. Первый сбор зелени проводят при достижении листьями высоты 15-20 см, следующие срезы делают через 30-35 дней, когда они отрастут до прежних размеров. Высевают в открытый грунт весной и осенью. Для получения зелени петрушки в зимний период семена высевают в емкость с питательным грунтом.;11759;Seedera;"Срок созревания Среднеспелый; Посадка IIV, X; Сбор урожая VI-IX; Вид петрушки Листовая";https://semena.market/images/product/463x463/15317.jpg;Нет в наличии;19;Seedera
Насіння петрушки Гігант Італії,10 г (Агромаксі);Нет описания;13853;Нет бренда;[];https://semena.market/images/product/0/0.jpg;Нет в наличии;16,5;Нет каталога
Семена подсолнечника Лакомка 20 г. (Seedera);Нет описания;4650;Seedera;[];https://semena.market/images/product/463x463/11202.jpg;В наличии;8;Seedera
Семена подсолнечника декоративного оранжевый с черным центром 0,7 г. (Seedera);Нет описания;9160;Seedera;[];https://semena.market/images/product/463x463/12063.jpg;В наличии;6,5;Seedera
Семена подсолнечника съедобного Украинский скороспелый 20 г. (АгроВест);Нет описания;7451;АгроВест;"Спелость Ранний; Посадка IV-V; Сбор урожая VIII-IX";https://semena.market/images/product/463x463/3895.jpg;Нет в наличии;11;АгроВест
Семена подсолнечника декоративного желтый с черным центром 0,7 г. (Seedera);Нет описания;9161;Seedera;[];https://semena.market/images/product/463x463/12064.jpg;Нет в наличии;6,5;Seedera
Насіння соняшнику Малюк карликовий 10 нас (Геліос);Нет описания;11894;Нет бренда;[];https://semena.market/images/product/0/0.jpg;Нет в наличии;5,5;Нет каталога
Насіння соняшнику Мексиканський 30 нас (Геліос);Нет описания;11895;Нет бренда;[];https://semena.market/images/product/0/0.jpg;Нет в наличии;5;Нет каталога
Семена огурца Гектор F1 1000 сем. (Nunhems);Нет описания;1815;Нет бренда;[];https://semena.market/images/product/463x463/7722.jpg;Нет в наличии;0;Нет каталога
Семена огурца Аякс F1 1000 сем. (Nunhems);Нет описания;1814;Нет бренда;[];https://semena.market/images/product/463x463/7723.jpg;Нет в наличии;0;Нет каталога
Семена огурца Спарта F1 500 сем. (Nunhems);Нет описания;1817;Нет бренда;[];https://semena.market/images/product/463x463/7724.jpg;Нет в наличии;0;Нет каталога
Семена огурца Маша F1 1000 сем. (Seminis);Нет описания;1816;Нет бренда;[];https://semena.market/images/product/463x463/7725.jpg;Нет в наличии;0;Нет каталога
Семена свеклы столовой Водан F1 20 г. (Агропакгруп);Нет описания;4393;Агропакгруп;[];https://semena.market/images/product/463x463/10881.jpg;Нет в наличии;89,6;Агропакгруп
Семена свеклы столовой Зепо F1 20 г. (Агропакгруп);Нет описания;4396;Агропакгруп;[];https://semena.market/images/product/463x463/10882.jpg;Нет в наличии;76,8;Агропакгруп
Семена свеклы столовой Пабло F1 20 г. (Агропакгруп);Нет описания;4394;Агропакгруп;[];https://semena.market/images/product/463x463/10883.jpg;Нет в наличии;67,2;Агропакгруп
Семена свеклы столовой Таунус F1 20 г. (Агропакгруп);Нет описания;4395;Агропакгруп;[];https://semena.market/images/product/463x463/10885.jpg;Нет в наличии;96;Агропакгруп
Семена пряностей базилик Греческий 1 г. (АгроВест);Нет описания;4;АгроВест;"Срок созревания Среднеранний; Посадка парник: I-XII; грунт: IV-VI; Сбор урожая VI-X; Культура Базилик; Упаковка Мини пакет; Фасовка 1 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/13682.jpg;В наличии;12,5;АгроВест
Семена пряностей базилик фиолетовый 0,2 г. (АгроВест);Однолетняя пряная культура, высотой 35-40 см. Стебель разветвлен, листья большие, мясистые, фиолетового цвета. Растение имеет отличный аромат. Используют в свежем виде для приготовления и украшения различных блюд, салатов, соусов и супов. Для открытого и защищенного грунта.;6643;АгроВест;"Посадка IV-VI; Сбор урожая VI-X; Культура Базилик; Упаковка Мини пакет; Фасовка 0,2 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/13569.jpg;В наличии;6,5;АгроВест
Семена пряностей Эстрагон 0,1 г (АгроВест);Эстрагон (Тархун) - травянистое многолетнее растение, которое имеет приятный пряный вкус благодаря наличию эфирного масла. Листья и стебли используют при солении огурцов, помидоров, грибов и приготовлении различных маринадов, а также как лекарственное растение. Свежий и высушенные листья применяют как специи в кулинарии.;6730;АгроВест;"Культура Эстрагон; Упаковка Мини пакет; Фасовка 0,1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/15183.jpg;В наличии;7,5;АгроВест
Семена лекарственной культуры мелисса 0,2 г (АгроВест);Растение многолетнее. Молодые побеги и листья имеют приятный запах лимона, поэтому их используют в свежем виде как приправу к различным блюдам, в частности салатов, супов, соусов, для ароматизации вин, соков, чая, компота и других напитков. В народной медицине мелиссу используют при различных заболеваниях (сердечных, простудных, внутренних органов).;499;АгроВест;"Культура Мелисса; Упаковка Мини пакет; Фасовка 0,2 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/15196.jpg;В наличии;7;АгроВест
Семена пряностей пастернак 2 г (АгроВест);Популярное пряное растение. Используют корень пастернака, который имеет пряный сладковатый вкус и приятный аромат. Употребляют в качестве приправ к супам, мясным блюдам и в составе сложных овощных гарниров. Зелень пастернака тоже съедобна и напоминает зелень петрушки или сельдерея, имеет терпкий вкус.;7316;Нет бренда;"Культура Пастернак; Упаковка Мини пакет; Фасовка 2 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/15200.jpg;В наличии;7,5;Нет каталога
Семена календулы лекарственной 1 г (АгроВест);Однолетнее травянистое растение астровых. Стебель округлый, прямостоячий, разветвленный, до 60 см высотой. Цветы - от соломенно-желтых до красно-оранжевых, собраны в верхушечные соцветия-корзинки. Разводят в садах и огородах как декоративное и лекарственное растение. Для лечения используют цветочные корзинки.;7238;АгроВест;"Культура Календула; Упаковка Мини пакет; Фасовка 1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/15197.jpg;В наличии;5,5;АгроВест
Семена лекарственной культуры тимьян, чебрец 0,1 г (АгроВест);Тимьян - многолетнее почвопокровное растение высотой 10-15 см. Неприхотливое, быстрорастущее, образует плотный сплошной ковер. Соцветия мелкие, розово-малиновые. Растение зимостойкое, засухоустойчивое. Выращивают посевом семян в грунт в ранние сроки или в начале лета. Зацветает на второй год после посева. Хорошо размножается делением куста. Используют для альпийских горок, рокариев, в декоративных вазонах и кашпо.;7460;Нет бренда;"Культура Чебрец (Тимьян); Упаковка Мини пакет; Фасовка 0,1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/15227.jpg;В наличии;7;Нет каталога
Семена лекарственной культуры ромашка аптечная 0,2 г (АгроВест);Однолетнее, хорошо известное растение с сильным приятным ароматом. Растение высотой от 15 до 60 см. Цветет с мая до осени. Ромашка аптечная - древнейшее лекарственное растение. Размножается посевом семян в открытый грунт ранней весной, и под зиму. Вегетационный период короткий - 60-70 дней. Семена начинают прорастать при температуре 3-4 °С. При оптимальной температуре (20-25 °С) всходит через восемь-десять дней.;7426;Нет бренда;"Культура Ромашка; Упаковка Мини пакет; Фасовка 0,2 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/15225.jpg;В наличии;5;Нет каталога
